clade_membership,frequency,projected_frequency,n_strains,observed_frequency,future_n_strains,forecast_error,absolute_forecast_error,sample,timepoint,future_timepoint,delta_month,delay_type
A.6.6.1,1.9e-05,9.670483398617974e-06,1,0.0,0,-9.670483398617974e-06,9.670483398617974e-06,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.2,0.007194000000000001,0.0035918106529346998,5,4.5e-05,1,-0.0035468106529347,0.0035468106529347,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.2.1,0.005727,0.0028453019273070998,4,4.5e-05,1,-0.0028003019273071,0.0028003019273071,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.3,0.11152200000000001,0.09585556718888885,61,0.005207000000000001,29,-0.09064856718888885,0.09064856718888885,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.3.1,2.3e-05,1.1759424427768972e-05,1,0.0,0,-1.1759424427768972e-05,1.1759424427768972e-05,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.3.2,0.028310000000000002,0.011315809911971396,9,0.004342,11,-0.006973809911971395,0.006973809911971395,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.6.3.3,0.079907,0.08288828937009664,45,0.000865,18,-0.08202328937009663,0.08202328937009663,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8,0.8786820000000001,0.8995294868149546,394,0.994453,577,0.09492351318504544,0.09492351318504544,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.1,0.08897200000000001,0.0581069041294915,48,0.017352,11,-0.0407549041294915,0.0407549041294915,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.2,0.022896,0.008176683612952672,9,0.0,0,-0.008176683612952672,0.008176683612952672,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.3,0.063459,0.0395550408258254,14,0.000567,8,-0.0389880408258254,0.0389880408258254,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4,0.5708,0.7353309247102028,252,0.36706400000000006,249,-0.3682669247102027,0.3682669247102027,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.1,0.042086,0.0363645237164991,6,0.002283,13,-0.0340815237164991,0.0340815237164991,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.2,0.021098,0.0185520122318723,6,0.006259000000000001,6,-0.012293012231872298,0.012293012231872298,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.3,0.021639000000000002,0.0415220857244809,10,0.00017900000000000001,5,-0.0413430857244809,0.0413430857244809,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.5,0.001326,0.0009744333632247509,16,0.0,0,-0.0009744333632247509,0.0009744333632247509,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.6,0.020416,0.024377083620083,3,0.024595000000000002,27,0.00021791637991700266,0.00021791637991700266,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.4.7,0.111838,0.16788596060030306,62,0.149647,103,-0.018238960600303056,0.018238960600303056,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.5,0.07922399999999999,0.03082556731463618,21,0.60774,300,0.5769144326853638,0.5769144326853638,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.5.1,0.040081,0.020586518109659037,12,0.033077,19,0.012490481890340965,0.012490481890340965,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.5.2,0.031120999999999996,0.0060601955433068,3,0.5746629999999999,281,0.5686028044566931,0.5686028044566931,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6.8.5.2.4,0.019096,0.0038409653925268,2,0.205086,93,0.2012450346074732,0.2012450346074732,h3n2_realistic_delay,2011-04-01,2011-10-01,6.0,realistic
A.6,0.999977,0.9999999999999725,692,0.999984,807,-1.599999997248247e-05,1.599999997248247e-05,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6,0.198316,0.1423172466485877,121,0.018916999999999996,9,-0.1234002466485877,0.1234002466485877,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6.2,0.016104,0.004770847427439748,12,0.0,0,-0.004770847427439748,0.004770847427439748,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6.2.1,0.013058,0.004191847039646848,10,0.0,0,-0.004191847039646848,0.004191847039646848,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6.3,0.179877,0.13742325692602125,107,0.017654,8,-0.11976925692602125,0.11976925692602125,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6.3.2,0.051543,0.022904787602779513,20,0.000812,1,-0.022092787602779513,0.022092787602779513,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.6.3.3,0.12293899999999999,0.11365028180548509,79,0.015792999999999998,6,-0.09785728180548509,0.09785728180548509,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8,0.800419,0.8574611918114998,569,0.9810669999999999,798,0.12360580818850009,0.12360580818850009,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.1,0.054747,0.017361131238913953,64,0.009008,10,-0.008353131238913953,0.008353131238913953,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.2,0.010187000000000002,0.0016974070889277098,10,0.0,0,-0.0016974070889277098,0.0016974070889277098,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.3,0.049305,0.017436519265763,25,0.0,0,-0.017436519265763,0.017436519265763,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.4,0.547959,0.7653643164169404,372,0.153401,201,-0.6119633164169404,0.6119633164169404,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.4.1,0.031899,0.0284614645546527,13,1.3e-05,1,-0.028448464554652702,0.028448464554652702,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.4.2,0.048501,0.0487428637050912,19,0.001051,2,-0.047691863705091195,0.047691863705091195,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.4.3,0.027544,0.024627110084091502,18,0.0,0,-0.024627110084091502,0.024627110084091502,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
A.6.8.4.5,0.00031999999999999997,5.575212824050899e-05,10,0.0,0,-5.575212824050899e-05,5.575212824050899e-05,h3n2_no_delay,2011-04-01,2012-01-01,9.0,none
